Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-10-24,2015/2016,Estoril,Rio Ave,D,,,,2015-10-24,Estoril,Rio Ave,9.0,4.0,4.0,22.0,10.0,8.0,4.0,21.0
2015-10-24,2015/2016,Guimaraes,Academica,D,,,,2015-10-24,Guimaraes,Academica,5.0,4.0,8.0,20.0,3.0,2.0,8.0,21.0
2015-10-24,2015/2016,Maritimo,Pacos Ferreira,A,,,,2015-10-24,Maritimo,Pacos Ferreira,7.0,8.0,9.0,21.0,7.0,5.0,8.0,21.0
2015-10-25,2015/2016,Arouca,Tondela,D,,,,2015-10-25,Arouca,Tondela,4.0,4.0,6.0,21.0,4.0,2.0,4.0,22.0
2015-10-25,2015/2016,Benfica,Sp Lisbon,A,,,,2015-10-25,Benfica,Sp Lisbon,9.0,12.0,4.0,29.0,13.0,11.0,3.0,21.0
2015-10-25,2015/2016,Moreirense,Setubal,A,,,,2015-10-25,Moreirense,Setubal,3.0,5.0,8.0,22.0,6.0,8.0,10.0,23.0
2015-10-25,2015/2016,Porto,Sp Braga,D,,,,2015-10-25,Porto,Sp Braga,13.0,12.0,3.0,21.0,10.0,10.0,2.0,21.0
2015-10-26,2015/2016,Belenenses,Uniao Madeira,H,,,,2015-10-26,Belenenses,Uniao Madeira,5.0,5.0,13.0,22.0,3.0,1.0,3.0,29.0
2015-10-30,2015/2016,Tondela,Benfica,A,,,,2015-10-30,Tondela,Benfica,2.0,2.0,5.0,5.0,9.0,12.0,6.0,5.0
2015-10-31,2015/2016,Sp Braga,Belenenses,H,,,,2015-10-31,Sp Braga,Belenenses,8.0,6.0,2.0,6.0,7.0,5.0,12.0,5.0
2015-10-31,2015/2016,Sp Lisbon,Estoril,H,,,,2015-10-31,Sp Lisbon,Estoril,13.0,11.0,2.0,6.0,10.0,6.0,4.0,7.0
2015-11-01,2015/2016,Academica,Moreirense,D,,,,2015-11-01,Academica,Moreirense,4.0,2.0,6.0,8.0,3.0,3.0,7.0,7.0
2015-11-01,2015/2016,Boavista,Maritimo,A,,,,2015-11-01,Boavista,Maritimo,5.0,2.0,2.0,9.0,6.0,7.0,10.0,8.0
2015-11-01,2015/2016,Rio Ave,Nacional,H,,,,2015-11-01,Rio Ave,Nacional,10.0,8.0,4.0,8.0,5.0,4.0,5.0,9.0
